序号,产品名称,品牌,色号,适合肤质,妆效描述,遮瑕力,价格（元）
28,小奶瓶,娇韵诗,100.5瓷白,干皮,滋润奶油肌，叠加不厚重，通勤友好，遮瑕四成，明显斑需另遮,低,380
29,虫草,芭比波朗,W-026暖瓷,干皮,光泽养肤，卸后不暗沉，熬夜救星，遮瑕六成，下午会轻微浮,中,620
30,吸油棒,欧莱雅,102自然色,油皮,哑光控油，遮瑕九成，平价DW，粉感重，需快速拍开,强,150
31,矿物质,悦诗风吟,C21自然色,中性,半哑光，轻薄透气，学生党首选，遮瑕四成，只能均匀肤色,低,120
32,小奶砖,3CE,001象牙白,混油,奶油砖肌理，遮瑕八成，韩系哑光，粉感明显，需局部上,中上,230
33,零感,Rom&nd,01浅米色,中性,0粉感裸妆，毛孔隐形，韩系水光，遮瑕三成，只能提亮,低,160
34,墨水,Peripera,01冷瓷,油皮,墨水级持妆，越夜越美，韩系雾面，遮瑕九成，粉感厚,强,180
35,双倍,爱丽小屋,21自然色,中性,双倍遮瑕，奶油肌，学生党爱用，粉感中等，下午会轻微浮,中,140
36,小夜猫,卡姿兰,01瓷白,油皮,夜猫持妆，12h不暗沉，国货之光，遮瑕八成，鼻翼会卡,中上,190
37,小金盖,完美日记,P01粉调,混油,奶油肌，国货平价，色号全，遮瑕六成，下午会轻微浮粉,中,160
38,独角兽,花知晓,W01暖瓷,干皮,奶油光泽，包装梦幻，少女必备，遮瑕四成，只能均匀肤色,低,170
39,小奶盖,橘朵,01瓷白,中性,奶盖质地，轻薄贴肤，国货黑马，遮瑕四成，下午会轻微浮,低,150
40,小精灵,稚优泉,01瓷白,油皮,精灵持妆，控油6h，学生党友好，遮瑕六成，鼻翼会卡,中,130
41,琥珀,酵色,A01中性,混干,琥珀光泽，养肤不暗沉，包装高级，遮瑕六成，下午会轻微浮,中,220
42,益生菌,瑷尔博士,01瓷白,敏感肌,益生菌养肤，维稳不闷痘，医美后可用，遮瑕三成，只能提亮,低,200
43,山茶花,溪木源,01瓷白,干皮,山茶花修护，干敏肌救星，卸后软嫩，遮瑕三成，只能均匀肤色,低,180
44,舒缓,薇诺娜,01瓷白,敏感肌,医美术后可用，舒缓不刺激，遮瑕六成，下午会轻微浮粉,中,190
45,UVMune,理肤泉,01瓷白,敏感肌,高防晒+遮瑕，痘肌安心，哑光持妆，遮瑕七成，粉感略重,中,210
46,矿物粉底,贝茗,Fair 01中性,敏感肌,100%矿物，无防腐剂，刷酸期可用，遮瑕四成，只能均匀肤色,低,240
47,Can't Stop,NYX,01瓷白,油皮,24h持妆，高遮瑕，欧美开架之王，粉感厚，需快速拍开,强,160
48, Girl Pro,L.A. Girl,GLM641自然色,混油,高遮瑕，拍照无滤镜，欧美网红，粉感重，近看颗粒感,强,120
49,ColorStay,Revlon,110象牙白,混油,16h持妆，油皮/干皮双版本，经典老牌，遮瑕七成，鼻翼会卡,中,180
50,Beauty Pro,Fenty,150中性,全肤质,50色可选，哑光高遮瑕，粉感明显，需局部上,强,380
```,,,,,,,
